"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log.length","log.DFSAvg","Treatment","genus","school_individual"
"fid.log.length","log.length",1192.33154963374,1199.34646680167,0.12057,NA,3,1,0,0,0.788,0.873,1,0,0,0,0
"fid.log.length+Treatment","log.length+Treatment",1196.4854865935,1211.26893614085,0.1739,NA,7,1,4.154,11.922,0.099,0.002,1,0,1,0,0
"fid.log.length.by.Treatment+Treatment","log.length.by.Treatment+Treatment",1198.54869229239,1220.90380965977,0.26998,NA,11.41,1,6.217,21.557,0.035,0,1,0,1,0,0
"fid.school_individual","school_individual",1199.20062903961,1205.99712594452,0.03568,NA,3,1,6.869,6.651,0.025,0.031,0,0,0,0,1
"fid.null","null",1199.73490117876,1204.26034987202,0,NA,2,1,7.403,4.914,0.019,0.075,0,0,0,0,0
"fid.log.DFSAvg+school_individual","log.DFSAvg+school_individual",1200.68690405914,1209.50657019116,0.04371,NA,4,1,8.355,10.16,0.012,0.005,0,1,0,0,1
"fid.log.DFSAvg","log.DFSAvg",1201.19822213705,1207.90087127948,0.00909,NA,3,1,8.867,8.554,0.009,0.012,0,1,0,0,0
"fid.log.DFSAvg.by.school_individual+school_individual","log.DFSAvg.by.school_individual+school_individual",1201.66316563929,1212.53712232705,0.05988,NA,5,1,9.332,13.191,0.007,0.001,0,1,0,0,1
"fid.genus","genus",1203.98878341308,1216.19277717492,0.05278,NA,5,0,11.657,16.846,0.002,0,0,0,0,1,0
"fid.Treatment","Treatment",1205.43069157183,1218.81154694646,0.05067,NA,6,0,13.099,19.465,0.001,0,0,0,1,0,0
"fid.genus+log.DFSAvg","genus+log.DFSAvg",1206.11315189164,1220.09609412148,0.05293,NA,6,0,13.782,20.75,0.001,0,0,1,0,1,0
"fid.genus+log.DFSAvg.by.genus","genus+log.DFSAvg.by.genus",1207.92946536126,1227.76772037444,0.12911,NA,9.64,1,15.598,28.421,0,0,0,1,0,1,0
