"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","log.length","speed.dif","Treatment","genus","school_individual"
"speed.fid.genus+speed.dif.by.genus","genus+speed.dif.by.genus",-307.844459358155,-282.765341501997,0.91138,NA,9.22,0,0,2.987,0.832,0.18,0,1,0,1,0
"speed.fid.genus+speed.dif","genus+speed.dif",-304.644564522709,-285.75214090673,0.9033,NA,6.55,0,3.2,0,0.168,0.803,0,1,0,1,0
"speed.fid.school_individual+speed.dif.by.school_individual","school_individual+speed.dif.by.school_individual",-291.371423852302,-276.963067059393,0.88662,NA,5.6,1,16.473,8.789,0,0.01,0,1,0,0,1
"speed.fid.school_individual+speed.dif","school_individual+speed.dif",-285.200400242625,-273.044669351786,0.87785,NA,4.69,1,22.644,12.707,0,0.001,0,1,0,0,1
"speed.fid.speed.dif","speed.dif",-285.118350496745,-275.392213163617,0.87539,NA,3.73,1,22.726,10.36,0,0.005,0,1,0,0,0
"speed.fid.log.length+speed.dif","log.length+speed.dif",-282.93412263269,-270.552057638049,0.87553,NA,4.78,1,24.91,15.2,0,0,1,1,0,0,0
"speed.fid.Treatment","Treatment",-71.6684842300889,-54.1780540457868,0.18632,NA,6,0,236.176,231.574,0,0,0,0,1,0,0
"speed.fid.log.length+Treatment","log.length+Treatment",-71.2951454052615,-52.5423544088199,0.19235,NA,7,0,236.549,233.21,0,0,1,0,1,0,0
"speed.fid.school_individual+Treatment","school_individual+Treatment",-69.3973544715249,-49.5306478881134,0.18668,NA,7,0,238.447,236.221,0,0,0,0,1,0,1
"speed.fid.log.length.by.Treatment+Treatment","log.length.by.Treatment+Treatment",-68.1271135056757,-41.0677104429216,0.23214,NA,11,1,239.717,244.684,0,0,1,0,1,0,0
"speed.fid.null","null",-64.0977153643411,-56.6242890970303,0.05593,NA,2,0,243.747,229.128,0,0,0,0,0,0,0
"speed.fid.log.length","log.length",-62.9913393145072,-53.9746650374748,0.05646,NA,3,0,244.853,231.777,0,0,1,0,0,0,0
"speed.fid.school_individual","school_individual",-62.0016162602277,-51.9794873698364,0.05636,NA,3,0,245.843,233.773,0,0,0,0,0,0,1
"speed.fid.genus","genus",-61.7041870220802,-46.5657268738685,0.0916,NA,5,0,246.14,239.186,0,0,0,0,0,1,0
